Total DV: 13944.823
 Stage              Epoch               X(m)               Y(m)               Z(m)      VX(m/s)      VY(m/s)      VZ(m/s)    DV(m/s)   TOTAL_DV    ID
     0        19663589.38     135145806366.0     -67793548848.2          1800210.7    12868.870    26506.324       -1.533       0.00       0.00    -2
     1        62568092.68    -353086134855.2      18028056679.8       6980358714.5     2080.372   -15149.887      619.378      10.84      10.84 74927
     2        75121483.86    -258482913526.3    -197153395990.9      -1978301036.2    14219.503   -14199.171     -735.130    3706.61    3717.45 83060
     3        90494421.54      45753398579.9    -283350294114.6     -12145564515.6    22064.325     5262.331     -285.293     158.36    3875.81 82638
     4       102979411.56     267377757497.5    -111557260139.3     -14682061610.5    10435.455    20343.212      327.270     632.95    4508.75 77507
     5       120405655.61     239088241198.3     240145750703.0       -696218997.6   -11590.628    15899.428     1041.123      64.58    4573.33 83142
     6       125183413.12     172437769428.2     307150879590.7        336630621.5   -15430.762    11867.122      216.294    1067.54    5640.87 58217
     7       145189115.34    -172299874246.3     357870626260.3       2930595623.4   -16037.317    -6150.361       78.852      66.26    5707.13 66549
     8       153467664.34    -290448619605.9     283473685328.2       2534227424.7   -12153.424   -11596.666      -70.443     126.93    5834.06 72751
     9       163220390.88    -381178589815.8     146698214289.4       1251890037.6    -5916.373   -15885.018     -147.737     294.07    6128.13 81701
    10       176605935.02    -391826388897.8     -78380434842.7        652629535.7     4603.380   -16767.470      -56.619     164.98    6293.11 83046
    11       185945522.68    -318557083464.3    -224911776318.9       3584328797.5    11384.992   -13867.858      286.913     635.18    6928.28 59210
    12       207918387.01      49652106881.0    -351172990242.2       3631040182.0    19133.022     4440.553     -116.913     236.40    7164.68 60831
    13       220776673.42     263959802321.7    -208675904987.9       -348273339.3    12325.806    16838.168     -331.290     397.28    7561.96 83288
    14       231306312.21     334457703283.9      -4007508554.3       -722316299.3      673.797    20853.470      -23.969     309.94    7871.90 29267
    15       239725841.82     299421839670.1     165344905205.6       -674117593.6    -8724.850    18535.175       15.846      49.22    7921.13 57825
    16       246917693.10     213744382445.8     282145695445.5       -718490508.7   -14664.017    13497.376        1.793      99.23    8020.35 62129
    17       260424192.05     -17811358805.2     389454113556.2      -4632264123.5   -18264.844     1837.354     -233.417     758.02    8778.37 60463
    18       271144740.29    -203208346641.6     363008275103.5      -6138594591.5   -15806.328    -6450.670      -80.389      98.54    8876.91 60741
    19       280705069.58    -333477167041.8     272952893489.1      -8154343760.8   -11232.648   -11933.452     -149.023     229.34    9106.24 82008
    20       283384399.19    -362001960528.2     239141899677.8      -9021594556.6    -9873.716   -13168.151     -304.544     279.48    9385.72 65655
    21       313069591.90    -367827954281.0    -215363479282.2     -10949122474.3     9726.733   -13707.689      214.087      32.05    9417.78 44892
    22       322471138.73    -255534990250.2    -325556623569.1      -8078944077.1    14465.220    -9228.674      383.062     555.55    9973.33 46576
    23       334515853.36     -62984097512.9    -384758276516.3      -1448711254.7    17607.172     -204.482      596.998     786.35   10759.68 75946
    24       340158374.65      37654557315.8    -371814650867.7       1944264209.2    17802.995     4891.817      595.556      43.88   10803.56 73099
    25       344810722.57     118466728773.0    -338857110903.0       5046392326.3    16777.954     9334.335      640.843     101.60   10905.16 83146
    26       364526341.97     307836504932.7       -236833439.9      15540972102.2    -1421.426    22117.580      -10.761     375.84   11281.00 51744
    27       379525084.70     138271241474.0     273226846649.4       6060878337.3   -19066.137    11213.110    -1000.223     309.36   11590.35 55264
    28       396777239.66    -208650843338.5     277255303068.4     -10461101725.3   -17288.778    -9462.956     -804.936      98.32   11688.67 76541
    29       417925879.09    -381425902770.8     -40216451174.7     -21382398516.5     1233.650   -17220.397       -2.486     502.70   12191.37 83354
    30       432173776.45    -276716614152.2    -255073557141.0     -19932416247.2    12874.862   -11831.679      463.693     325.18   12516.55 39256
    31       442566376.20    -107571307731.9    -336651702099.1     -13315853136.9    18698.658    -3229.714      867.142     360.42   12876.97 82229
    32       452195842.77      76684424165.7    -320618977193.7      -7971313243.0    18848.566     7204.853      720.075     669.22   13546.19 53540
    33       471114052.38     291932484237.0      -3577590916.7       7563137152.4     -429.036    22619.669      693.322      21.18   13567.37 82009
    34       474069239.91     284887231909.6      62348268925.0       9349516052.2    -4661.207    21988.685      535.095     377.45   13944.82 69346
    35       490359078.58      51548499880.4     309194680871.5      10600719137.2   -20270.464     5575.210     -365.853       0.00   13944.82 45634
Total DV: 14261.473
 Stage              Epoch               X(m)               Y(m)               Z(m)      VX(m/s)      VY(m/s)      VZ(m/s)    DV(m/s)   TOTAL_DV    ID
     0        18835777.15     122768803775.4     -88751852910.4          3040052.1    16964.685    24020.742       -1.456       0.00       0.00    -2
     1        62562490.21    -353096497364.8      18134730053.2       6984657942.2     2183.019   -15127.248      399.650     316.09     316.09 74927
     2        74979883.01    -260568589101.8    -195130548517.1      -2103546727.6    14070.225   -14307.663     -751.191    3706.30    4022.38 83060
     3        90502366.35      45933012820.0    -283315761649.5     -12136146365.4    22067.567     5273.226     -264.807     141.82    4164.20 82638
     4       102977543.27     267355416539.2    -111593594648.6     -14682595686.2    10437.829    20342.720      325.722     642.55    4806.76 77507
     5       120375392.06     239419256097.6     239655434295.7       -733980542.2   -11567.548    15923.165     1040.864      65.76    4872.51 83142
     6       125192032.71     172300256798.9     307258720683.8        349056924.8   -15428.098    11860.705      225.006    1055.99    5928.50 58217
     7       145195418.00    -172401071634.1     357834911521.5       2936738081.8   -16034.803    -6155.115       78.351      77.38    6005.88 66549
     8       153485329.49    -290655691674.9     283261116053.7       2554725291.1   -12142.298   -11607.940      -68.809     124.23    6130.11 72751
     9       163234692.15    -381237619278.8     146466703392.8       1255847011.1    -5904.082   -15889.199     -149.568     293.68    6423.79 81701
    10       176570299.25    -391982115111.6     -77830497210.6        607143297.5     4573.167   -16776.063      -60.045     165.53    6589.32 83046
    11       185955164.52    -318429657997.0    -225050401706.3       3581010338.1    11394.516   -13857.406      289.937     633.32    7222.64 59210
    12       208121401.73      53550731332.7    -349820145807.4       3739360817.7    19103.805     4686.332     -116.114     237.53    7460.18 60831
    13       220719178.94     263315760911.8    -209595217278.4       -268673589.0    12381.831    16771.355     -341.491     394.63    7854.80 83288
    14       231274991.32     334479463295.2      -4682712725.5       -747602538.2      710.686    20846.303      -33.988     307.93    8162.73 29267
    15       239718531.49     299496570936.6     165207958527.7       -683540045.3    -8721.013    18541.792       17.956      61.94    8224.67 57825
    16       246924723.67     213652574982.0     282246178299.7       -709035493.4   -14668.341    13492.526        4.406      96.96    8321.63 62129
    17       260388306.96     -17183825504.6     389393668677.0      -4613672873.2   -18268.798     1869.028     -234.093     757.73    9079.36 60463
    18       271143694.15    -203193065148.3     363015698086.3      -6139652048.4   -15804.456    -6450.494      -81.608     101.50    9180.86 60741
    19       280704114.95    -333467013942.4     272965182512.9      -8155066492.6   -11233.124   -11932.972     -148.978     227.39    9408.25 82008
    20       283357308.98    -361733434853.6     239511387164.6      -9042509399.1    -9889.077   -13153.057     -315.498     284.97    9693.22 65655
    21       312658066.88    -371904395565.5    -209572980826.5     -11358386773.1     9460.259   -13856.463      202.144      36.04    9729.26 44892
