Final mass: 519.9
 Stage          Epoch              X              Y              Z       VX       VY       VZ     Mass    ID
     0     79073192.42597   32256291383.96463 -148636844877.90698       2249698.76758   29344.16850    2277.93088     -18.44697  1500.000    -3
     1     85611840.28795  165084702523.74643  -44764740096.21017    -124644822.78305    7946.65932   24691.78942     -84.52106  1488.930   612
     2     92854407.41539  108176315737.77800  123307593068.29776   -2352380092.40274  -22345.90203   15805.28650    -349.62620  1462.708   443
     3     94703663.86671   61902491097.62740  145582926835.74973   -2896088362.30415  -27349.02529    7949.52258    -201.80937  1456.765   931
     4     99117564.36437  -65567724684.16399  127425948802.93721   -2734542560.83613  -26650.26364  -16902.79040     197.05592  1439.547   475
     5    106690635.17296 -111050549259.45569  -87848083354.90596    -584721388.46136   17807.73405  -26249.63897     410.05654  1411.041   642
     6    115091444.27493  107537140199.43443 -123505944809.23700    2965964009.88000   22147.78132   16697.78265     256.49762  1385.919   871
     7    123178782.97282  152989415463.06201   74439382974.64954    2070634719.66413  -12092.94068   24353.16654    -444.04445  1358.492   927
     8    135588669.91581 -129326675929.07756   86023023735.27930   -1688137470.48106  -14294.28380  -25302.00718     152.68447  1309.672  1312
     9    141248614.06715 -122393767142.53802  -76409996433.75063     478317650.67586   17559.72391  -26040.73365     551.90285  1290.070  1352
    10    144353427.44267  -46448219174.77206 -136010816930.03975    1964870893.11529   29605.84715  -10890.10984     309.74772  1277.183   318
    11    155509061.61192  154266026890.05225   38828603876.19170     706962955.50992   -6904.79779   26548.25245    -431.73577  1227.632   824
    12    157364880.41571  132840911608.87300   84838282776.94373     -80528820.57665  -16018.55230   22561.93051    -410.78938  1219.176   633
    13    164257570.16817  -48661270386.93442  131692345142.23413    -858502578.27660  -28646.46231  -13200.76373     312.70691  1188.332  1377
    14    169800726.94179 -133583918614.76970  -14194345669.29283    2413302424.66935    2900.45997  -32704.25834     647.46864  1166.267   857
    15    178984271.98255   77236962170.62032 -137250246414.71501    1080546578.58129   26097.61576   11398.62892    -855.11702  1146.987  1367
    16    183962149.67800  163193504505.73093  -37026605468.08109   -3220281850.41178    6844.13043   25897.49943    -852.45245  1139.750   509
    17    188351730.97617  148620138649.67392   76249315685.27730   -5948931164.04100  -13189.77140   23350.69045    -300.21110  1137.535   821
    18    193528138.48606   34105284196.00326  152696227443.33716   -5195735779.27542  -28343.72124    3546.30510     552.44815  1126.051  1019
    19    201954585.17310 -132058408162.18633    -414821094.47896    2529036179.63103    2255.87914  -32885.41804     903.60031  1092.918   686
    20    208488473.84170   15127385136.07191 -133220110182.56796    4248589623.25270   32854.49591     798.51993    -342.51310  1071.778  1253
    21    216394778.89716  161688375599.09015   21350768459.65712    -919693598.61224    -799.42923   26950.04769    -749.08147  1050.818  1435
    22    219539255.11919  136393699398.37045   98668128518.75053   -3195822198.36943  -14679.73591   21226.05225    -643.85642  1043.127   768
    23    228011923.06251  -64989440239.54932  131080024514.04689   -6124068218.79922  -23652.34259  -17652.22934      99.78297  1009.541  1407
    24    235671667.78240  -64605149409.15490  -92847224953.51106     495808986.00824   30505.65922  -21600.85715    1549.31615   990.794   125
    25    240346382.14437   91842126767.74153  -94235613608.20091    5450772834.04344   27206.27879   18056.56737     398.66888   986.622   461
    26    250595794.39432   85487335296.15562  139331466909.39246    1373242233.56092  -22548.95203   11947.44917    -803.13077   964.657   653
    27    254175117.41366   -6612413029.04595  151358979188.57697   -1416081942.71847  -27240.57440   -6148.44253    -750.06991   962.340   958
    28    263751448.96094  -47727552919.65224  -99169057899.59489   -2022965187.14045   33058.87915  -18496.06656     995.92562   944.987  1336
    29    267072845.43785   67563179074.55834 -106075205884.70680    1529994652.88402   31206.03439   12648.01927     909.23123   936.481  1279
    30    273446693.58827  150457750209.99930   47724160072.47228    2621675849.94160   -5398.50646   26354.27832    -547.99058   908.370   307
    31    279064033.22883   54079354613.76135  150444509185.80746   -2923990074.65481  -25739.09748    7043.33356   -1262.47512   883.027  1362
    32    281041158.72601     755445337.49382  154098258809.83087   -5262993018.56428  -27645.09170   -3601.86671   -1039.42929   874.688   458
    33    288534582.57670 -120840615095.87541  -21576078527.50664   -3611787183.32663    7497.50585  -34943.53254    1606.48838   840.832   631
    34    293775364.20632    4713106763.16917 -136689396233.53552    5540869943.94848   31804.05239   -4052.96452    1399.85383   822.447   379
    35    298227188.04579  125895392323.72852  -96487602368.95218    8654227320.20329   19799.55688   19149.94867       7.92860   820.980   333
    36    302685580.98260  168937695089.43515    8231066618.35948    6686276869.50388    -898.01377   25294.26388    -738.78096   804.536  1415
    37    307551659.60272  111403174817.04906  116117791021.00441    2647821385.90158  -21800.23879   16399.43384    -901.53616   782.207  1100
    38    314029728.81757  -69437030381.86592  117876129798.14218   -1693466035.13671  -26342.68063  -18939.16308    -193.89715   752.491   321
    39    320377077.82455 -113806987298.62703  -68176411435.14525    -789205364.49653   15756.02269  -28493.71394     146.91050   723.990   964
    40    326853959.32676   61993870799.70254 -130906401979.61951    -667077396.78955   28039.86041   10937.24130     301.47069   707.587  1419
    41    330335719.28391  136707218921.69586  -64130680771.24676     753908165.53642   13385.18892   25486.03209     261.62742   700.818  1156
    42    335759255.00532  128401958863.37628   81217326433.12560    -393362638.02089  -15946.98817   22899.83770    -390.31152   675.939   914
    43    342327463.49165  -42795023231.37357  121800839427.59348   -1711224926.94771  -28302.07748  -15450.04380      -0.57981   655.002   120
    44    347769613.94852  -99877257693.38368  -44914484168.19125   -2272099391.10699   15306.60537  -34491.12730    -118.59747   632.037   781
    45    353371240.94450   66344131163.43176 -114330529276.00691   -2215649196.35056   29945.65497   10809.65857     205.19465   616.177   691
    46    361048934.50217  144537480893.64273   62526484105.55807     298618328.54730  -10405.49078   24299.21104      50.18546   606.113   892
    47    368238385.41223  -23012199454.65513  135633740527.81795   -2285141514.27288  -29197.67828   -9977.89100    -424.06778   591.693    92
    48    370275704.41232  -77601863123.69176  100907428285.05493   -2853126562.73637  -23105.09336  -23978.33296     -44.92229   590.058  1323
    49    376470461.75858  -66976067806.78292  -96107381463.34583    1098583179.73060   27906.55220  -22947.22353     757.07536   581.742  1420
    50    391564826.40411  145266892216.18646  122973449663.26811    8286745944.80184  -14023.98657   19523.11813     600.06615   519.931   800
